image,description,display name,category
41900.jpg,"Style Note playboy launches a new fragrance, named Malibu, thus enlarging the collection of   fragrances which includes Miami, New york, Vegas, Hollywood and the Ibiza edition. Playboy Malibu shows an ultra cool man with aromatic and seductive notes of the ocean. Energy of the composition vibrates in the air from the very beginning with a lively composition of lemon, apple, mint, green leaves, lemon verbena and neroli..and what's more  to double the joy, you buy one   perfume and get one absolutely free! Quantity : 50 ml Caution Flammable Keep away from sources of ignition Keep away from children Do not use near fire, flame or heat Avoid spraying near the eyes",Playboy Men Malibu Perfume Buy 1 Get 1 free,Perfume and Body Mist
12426.jpg,"Trendy and comfortable, the timberland Earthkeeper Chukka Casual boot comes in a classic design and is packed with features that makes it much more than just a footwear. The Smart Comfort Biorhythmic Chassis channels in this boot offer comfort where it's most needed. Upper Premium full-grain supple leather upper for absolute durability, comfort and style High ankle for enhanced comfort Moisture-wicking 100% organic cotton canvas inner lining for ultimate breathable comfort Intertwined lacing system for a snug, customised Fit Embossed branding on the lateral ankle for style Haul loop to hang shoe from a backpack Midsole Cushioned fabric footbed for all-day comfort and support Outsole Durable rubber outsole with lugs in the forefoot and heel for absolute grip and traction Raised heel for ergonomic comfort and style Shoe care Use a branded leather conditioner and brush Do not wash or store in direct sunlight",Timberland Men Casual Brown Casual Shoes,Casual Shoes
18581.jpg,"One pair of short ankle length socks in black Made of 70% cotton, 29% nylon and 1% elastane Rib at opening to grip at ankle Three dimensional shaped heel and toe for best Fit Wear these socks to keep your feet comfortable in formal shoes, or with trainers when you're working out.   puma ensure that all their products are designed to offer the best performance and these socks are no exception. Sock care Machine wash in warm water Do not iron, bleach, tumble dry or dry clean",Puma Men Formstripe Short Black Socks,Socks
16413.jpg,"Composition Green, white and blue striped polo neck T-shirt made of 100% cotton, has a ribbed collar with a buttoned chest placket, short sleeves with ribbed hems, and a vented hem   Fitting  Comfort   Wash care  Machine wash with warm water Do not bleach Tumble dry Warm iron Do not dry clean  Nothing exudes class and elegance as much as a Levi's polo neck T-shirt. Wear this classic style to any off-duty event to look your stylish best. Pair it with classic denims and suede shoes to snazz up your style.  Model statistics  Product is a size M on a model of height 6' and shoulders 18.5""",Levi's Men Stripes Green Tshirts,Tshirts
12448.jpg,"Raw hide leather laces any day extend class and style to your chukkas, boots and shoes. The rugged look and comfort of these laces are unparalleled. So grab your pair of durable genuine leather raw hide laces from timberland and enhance your style quotient. Length : 44"" Genuine 100% leather raw hide lace with a smooth outer finish Fits into 5X2 eyelets Lace care Do not tug too hard Do not store in direct sunlight or moist conditions",Timberland Unisex Tan Shoe Accessories,Shoe Accessories
34380.jpg,"Style Note Spun from our irresistibly soft cotton, this is a blissfully cosy T-shirt. Sporting a print on the chest, this tee from myntra gives a fresh twist to an off-duty staple making it ideal for your cool summer wardrobe. Style it with shorts or jeans, understated accessories and lace up casual shoes for perfect man-about-town nonchalance   Product Details Light orange T-shirt has a round neck, short sleeves and has graphic print on the front   Material and Care 100% cotton Wash in cold water with like colours using a mild detergent Do not bleach, soak or wring Warm iron on reverse   Size and Fit Regular The model (height 6' and shoulders 18"") is wearing a size M",Myntra Men Orange Royal T-shirt,Tshirts
17587.jpg,"sunglasses that make you look like a pop culture icon: that's the thrill speedo offers! High on style, this pair of distortion free Crankin sunglasses from Speedo comes in a styled frame. An eclectic mixture of fashion and substance, its shape provides that perfect Fit over the root of your nose.  Tinted lens for UV protection in bright sunlight Plastic frame in an aerodynamic design for absolute comfort and durability Rectangle lens for absolute style and protection from elements Flexible hinges for durability Fixed nose bridge with flexible nose pads in supple rubber to hold the glasses in place, ensuring there is no friction with the skin   Care  Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner Do not use your fingers on such stains Do not place glasses on uneven surface or heated areas like the dashboard of a car",Speedo Unisex Funky Eyewear Black Sunglasses,Sunglasses
35799.jpg,"Style Note Revel in the comfort of leather and look stylish in ease in this pair of ballet flats from enroute. Pair it with ethno-western clothes for a fab-yet-comfy look. This pair comes with a shoe bag to help you pack when you travel. Product Details Purple and blue slip-on with leather upper and fabric bow Padded footbed with print Upper stitched to the outsole for durability Durable rubber outsole grooved on the forefoot with a textured PU heel patch Material and Care Leather Wipe surface with a dry, clean cloth to remove dust and dirt Do not store in direct sunlight",Enroute Women Purple & Blue Shoes,Flats
23806.jpg,"Get used to maximum comfort and performance while running in the cat Runner shoes from puma. These shoes work as hard as you to help you run longer and stronger.  Upper Mesh upper for a high degree of breathability and lowering risk of blistering Synthetic overlays in formstripe and cat logo design for secure Fit and style Lace-ups for snug fit Cushioned collar and tongue for plush comfort  Midsole Phylon midsole for impact protection and lightweight comfort  Outsole Heel construction that distributes impact across the outsole allowing softer propulsion TPU outsole for durability  shoe care Wipe surface with soft, clean, damp cloth to remove dust Do not machine wash Store shoes away from direct sunlight",Puma Men Grey Cat Runner Sports Shoes,Sports Shoes
53441.jpg,"White Race walk Sports shoe Mesh upper with synthetic overlays Central lace-ups and a padded tongue with branding Reinforced heel collar with branding Padded footbed with branding Printed adidas tri-stripe stitched onto the side Upper adhered to out-sole, EVA midsole TPR out-sole with grooves and nubs",ADIDAS Men White Sports Shoes,Sports Shoes
37763.jpg,"Style note This john players shirt gets a sartorial stamp of approval, with it's refined collar, silhouetted tailoring and it's fine, luxe fabric. Make the right impression with this shirt - be it on lazy weekends or during after-hours dinner. The best bet for semi-formal Fridays, wear this with fitted denims and ankle boots! Product Details Orange shirt with stripes, has a spread collar, half buttoned placket (with press buttons), full sleeves with buttoned cuffs and a curved hem Material and Care Cotton linen fabric Dry clean or machine wash with like colours only Use a non-chlorine bleach if needed Line dry inside-out in shade Warm iron Size and Fit John Players' Trim Fit The model (height 6' and shoulders 18"") is wearing a size 40",John Players Men Orange Striped Shirt,Shirts
30529.jpg,"Muted gold bra, high coverage cups, adjustable shoulder straps, hook closure at the back, reinforced seams at the underbust  Owing to intimate nature of this product it is eligible for self-ship return only (no pick-up facility)",Lovable Cotton Essensuals Skin Coloured Bra,Bra
7519.jpg,"Composition Black round neck t-shirt made of 100% organic cotton, with a ribbed neckline, short sleeves and graphic print on the front Fitting Comfort Wash care   Machine wash cold at 30 degrees with like colours  Do not bleach  Tumble dry low  Warm iron, but do not iron on design  Do not dry clean   Up your sporting ante by slipping into the nike sportswear range, and enjoy the pleasure of sporting in style. This t-shirt from nike is made of pure organic cotton, ensuring a fresh and comfort Fit. Team this with Nike performance shorts or pants and training shoes and watch yourself performing to your hilt.",Nike Men's As Icon Black T-shirt,Tshirts
39174.jpg,"Blue printed kurta, has a mandarin collar and a V-neckline, embellishments around the neckline, short sleeves and a vented hem    ",Aneri Women Blue Printed Kurta,Kurtas
20566.jpg,"baggit was founded in 1990 and since then has created a name in the market for fighting against cruelty to animals. A practical and stylish choice of bag in black with extra roomy space and comfortable to carry, this smooth faux leather and corduroy bag will give a sophisticated look to any casual outfit. Height : 29 cm Width : 34 cm Depth : 19 cm Made of smooth faux leather and corduroy for durability Has one large main compartment with woven cords on the mouth to pull closed   two internal zipped pockets One long adjustable handle woven through loops for carrying ease Small zipped pocket on back with a mobile pouch Two small pockets on the front with flaps and magnetic button closures for enhanced space Ruched effect and jute design for style Stylish, easy to grip, synthetic leather zip pulls Brand name on back zip in the shape of a heart Bag care Wipe with clean, damp cloth to remove dirt",Baggit Women Penguin Baby Purple Handbag,Handbags
41701.jpg,"  Style Note  superman themed shorts - the ultimate mark of a dc comics fanboy! A retro style throw back in soft cotton, we love how this adds a cute twist to comfy basics.  Product Details  Black printed shorts with a wide drawstring waistband and side pockets.  Material and Care  Premium combed cotton rich fabric  Machine wash at 40 degrees  Dry in shade  Cool iron, do not bleach  Size and Fit  Relaxed fit  The model (height 6' and waist 32"") is wearing a size M  Style Note Superman themed shorts - the ultimate mark of a DC Comics fanboy! A retro style throw back in soft cotton, we love how this adds a cute twist to comfy basics. Product Details Black printed shorts with a wide drawstring waistband and side pockets. Material and Care Premium combed cotton rich fabric Machine wash at 40 degrees Dry in shade Cool iron, do not bleach Size and Fit Relaxed fit The model (height 6' and waist 32"") is wearing a size M  ",DC Comics Men Navy Blue Printed Shorts,Shorts
18433.jpg,"VITALGear is the one stop shop for those who prefer reliable and quality bags. Carry your stuff in style with this Yogear bag from VITALGear. With ample space for office accessories and books, the bag is best suited for college and general heavy duty use.  Height : 32 cm  Width : 41 cm  Depth : 14 cm  Made of 600D polyester One main compartment with zipper closure One small zippered compartment on the front for carrying small items Fabric haul loop Two adjustable shoulder straps with padding   Wash care  Clean with a damp cloth when necessary Do not bleach, tumble dry or wring",Vital Gear Unisex Daypack Brown Backpack,Backpacks
16066.jpg,"Composition Black trousers made of 100% cotton, has two pockets on the sides with a patch pocket on the right hip, two pockets on the back, looped waist, and a zipper and button closure on the front Fitting Slim Wash care Machine wash at 40 degrees Wash dark colours separately Do not bleach Tumble dry normal or line dry Warm iron Crafted from soft cotton and designed with cuts that offer a flattering silhouette, this slim Fit chino from highlander makes for a great addition to your semi-formal wardrobe. Pair it with semi-formal shirts, throw over a blazer and slip into suede shoes. Model statistics The model wears trousers of length 41.5"" Height: 6'1"", Waist: 31""",Highlander Men Solid Black Trouser,Trousers
48004.jpg,Case style: Analog watch with a round stainless steel case for enhanced durability Dial style: Purple dial with silver hands Strap style: Black genuine leather strap with a patent leather finish for style and tang clasp for comfort Features: Branding on the 12 hour mark on the dial Geometrical pattern in black on the dial Screw to reset time Water resistant Warranty: 1 year,Helix Women Purple Dial Watch,Watches
4154.jpg,"AN ACE FOR THE ACERS  If what you need is speed, traction and stability on the tennis court, look no further than the nike Zoom Vapor Club tennis shoes. An update of the classic silhouette, the nike Zoom Vapor Club is constructed with the best of modern technology coupled with premium cushioning, durability and support. Built with a performance-driven design, these tennis shoes are light in weight and offer a springy bounce. Designed in a high performance style, this range of tennis shoes provide the ultimate in durability and traction.  The synthetic uppers of the Nike Zoom Vapor Club shoes are made of lightweight leather upper with durability regionalised and reinforced in the toe tip made of XDR and medial part of the forefoot. The upper is well perforated to provide ultimate ventilation and breathability for the feet, keeping them dry and comfortable.  Lateral moves made easy  Engineered with a full length phylon material midsole and a Nike Zoom unit in the heel, the Nike Zoom Vapor Club range of shoes have an absolutely high level cushioning ensuring a springy bounce that gives the ultimate comfort during side-to-side movements on the tennis court.  To make side-to-side movements even more convenient for tennis players, the Nike Zoom Vapor Club shoe is specially designed to frame the heel and has an outrigger ion the outsole.  Added to this cushioning and stability is the herringbone pattern on the rubber outsole that ensures maximum traction and durability of the shoe. The outsole is also created out of a single piece TPU shank that enhances stability. The flex grooves on the lateral side of the outsole provide a natural feel of the tennis court, allowing more flexibility of the sole, while the pivot point enhances traction.  On the whole, the Nike Zoom Vapor Club is a personal favourite of some of the best tennis players the world over, who love that springy, supported bounce across the tennis court.  Upper   Perforated leather uppers for superior breathability and excellent Fit  White lace-ups for snug fit  Cushioned collar and tongue for extra comfort  Appliqued swoosh on the sides  Perforated toe box adds  extra ventilation   Midsole   Full-length Phylon midsole for lightweight cushioning   Outsole   Nike Zoom unit in the heel provides lightweight and responsive cushioning  XDR toe wrap provides extra protection  TPU shank enhances torsional rigidity for excellent midfoot stability and arch support  Lateral-side outrigger for enhanced stability on quick movement  Traditional herringbone tread pattern for durable traction on a variety of court surfaces  Full-length XDR (Extra Durabble Rubber) outsole provides extreme durability and traction   Wash care Wipe surface with soft, clean, damp cloth to remove dust Do not machine wash",Nike Men's Vapour Club White Grey Shoe,Sports Shoes
32393.jpg,"Grey shirt made of 100% cotton, has a spread collar, three quarter  sleeves with single button cuffs, full buttoned placket, brand badge above the left hem and a curved hem   ",Arrow Woman Blue Shirt,Shirts
13075.jpg,"An absolutely cool casual shoe, this pair from numero uno is a great addition to your wardrobe. The all black uppers with red accents in a classic silhouette creates a strong impression. Team this with jeans and t-shirts for great urban style. Upper Synthetic leather upper for durability and comfort Perforations on the sides for greater breathability Minimal stripe detailing on the sides and overlays behind the collar for added style Lace-ups for a snug Fit Cushioned collar and tongue for greater comfort Textile lining for added comfort Brand name embossed on the side, behind collar and printed on the tongue Midsole EVA midsole for better shock absorption and all day comfort Outsole Durable rubber outsole in diamond patter with small round lugs on the intersecting points for maximum durability and traction Shoe care Wipe synthetic leather surface with soft, clean cloth to remove dust Do not machine wash Do not store in direct sunlight",Numero Uno Men Black Shoes,Casual Shoes
33864.jpg,"puma has its roots in Germany, and the brand is known for its minimalist design in high-end athletic footwear. Crafted in the brand's signature style, these puma sandals are the right solution for brand conscious comfort junkies. These sandals are great for regular wear as they ensure superior traction and protection to the feet, without compromising on comfort and style.   Upper Synthetic upper with synthetic woven tape straps on the forefoot and ankle with adjustable velcro closures Padded straps on the forefoot and on the ankle strap for a snug Fit Logo embroidered on the ankle and the forefoot strap   Midsole Cushioned suede footbed for all-day comfort   Outsole TPU outsole with multi-directional lugs on the forefoot and heel for superior grip Branding on the midfoot Outsole reinforced to the upper   Sandal care Rub surface with a soft, damp cloth to remove dust Do not store in direct sunlight",Puma Men Harz Blue Sandals,Sandals
37849.jpg,"Style Note This card holder from hidekraft is a must-have accessory for the style conscious male. Carry your cards in style with this classic holder. Product Details Three-fold black card holder Has twelve card slots and an id card holder Branding embossed on the front Material and Care Genuine leather Wipe surface with a clean, dry cloth to remove dust Size Dimensions: 12.5 cm x 7 cm",Hidekraft Men Black Card Holder,Wallets
44658.jpg,"Black and red, round toed shoes with central lace up fastening Canvas upper with leather overlays, reinforced overlay at the heel collar and on the toe box Madded mouth and footbed, soft inner and tongue Rubber midsole with foxing around the toe box Rubber outsole with grooves",Vans Unisex Red Old Skool Shoes,Casual Shoes
1597.jpg,"1. Round section handles for easy transportation 2. Ample space 3. 100% polyester outer, 100% polyamide inner 4. Reinforced bottom of bag for durability 5. 11.5"" length x 15"" breadth Easy to carry, easy to maintain and easy on the pockets: The ideal bag for Sports lovers who would like to carry all their things in one large pack! A pocket especially made for the damp and dirty after-gym clothes, makes sure that the hygiene never goes out of your routine! Easy care: Wash with clean water",Geonaute Women Black Outdoor Bag,Handbags
4438.jpg,"Dedicated to Basketball champ Chuck Taylor, this Chuck Taylor All-Star series from converse are also called Chucks and come in classic designs. Created using canvas and rubber, this range of sneakers from Converse were initially designed to capture the basketball market, but soon enough turned into hot casual footwear favourites. Upper   Canvas upper for easy maintenance and durability  Black upper with yellow stitch detailing for style  Carbon rubber toe box for enhanced protection of the upper foot  Long canvas tongue for added comfort and snug Fit  Synthetic twill lace running through metallic eyelets for durability and snug fit  High ankle for snug ft and added support to the ankle   Midsole   Cushioned fabric footbed for comfort and breathability   Outsole   Reinforced guard to protect the forefoot of the shoe and enhance durability  Vulcanized rubber outsole for flexibility and traction  Waffle pattern outsole for superior grip on all terrains   Shoe care Make a paste using 1 tbsp of baking soda, 1 tbsp white vinegar and 1 tbsp hot water Rub this paste onto the canvas and the sole using a brush Wash off with lukewarm water",Converse Unisex Rolldown Black Yellow Canvas Shoe,Casual Shoes
32582.jpg,"Style Note Let only transform your everyday life from grey    and monotonous to fun, colourful and creatively eventful! We're super    excited in the myntra office to be selling these yummy tops and dresses from the quirky, flirty, denim brand ONLY. It's easy to look  both cute   and on-trend when you're wearing anything from this summery  collection.  Product Details Sunshine yellow dress with black spots made  of crepe chiffon, sleeveless, wide round neck, fully lined,  gathered to elasticated waist and with tie belt at waist at back Material and Care 100% polyester Machine wash cool Do not bleach or tumble dry Cool iron Size Loose Fit The model (height 5'8"" and chest 33"") is wearing a size M",ONLY Women Yellow Dotted Print Dress,Dresses
2936.jpg,"Wine red polo neck t-shirt made of 50% bamboo and 50% cotton, with a red collar, sleeve hems and open V-neck placket and applique with print on left chest  ",DUSG Women's Red Polo T-shirt,Tshirts
15034.jpg,"Composition Navy blue top with navy blue, red and cream stripes on the front, made of 70% acrylic and 30% wool, has a round neck, long raglan sleeves, ribbed cuffs and hem, and embroidered branding on the left hem Fitting Comfort Wash care Wash below 40 degrees separately Do not dry clean Do not soak, bleach or tumble dry Dry in shade Warm iron; do not iron on decoartions Crafted from a soft wool blended fabric, this top from adidas is a perfect addition to your winter wardrobe. Layer it over tops and t-shirts or wear it over a spaghetti by teaming it with skirts and casual trousers, add on mocassins or sneakers and enjoy the winter in warm comfort. Model statistics The model wears size M in tops Height: 5'8""; Chest: 32""",ADIDAS Women Stripes Navy Blue Sweaters,Sweaters
3308.jpg,"Composition White, black and yellow reflective running shoes with Synthetic leather and mesh uppers, GEL®  Cushioning System, Compression molded EVA Wash care Wipe surface with soft, clean, cloth or brush, cold water and mild detergent to remove dust Do not machine wash or use a drier Avoid storing shoes in extremely hot conditions or in sunlight Fitting Regular Made for casual everyday wear, these athletic inspired shoes from asics are great for everyday wear when you have to be on your feet for long stretches of time. The synthetic leather and mesh uppers give snug Fit with breathability, The GEL®  Cushioning System provides superior shock attentuation on impact with the ground and the lightweight EVA midsole makes the shoe lightweight. The outsole with the diagonal interweaving pattern provides reasonable grip.",Asics Men's Gel Cushioning Running White Black Yellow Shoe,Sports Shoes
31190.jpg,"Gift set - Wallet and Handkerchief Wondering what to give that special someone as a gift?  Your search is over with this classy combination! Sleek cabarelli wallet crafted from pure leather, slim enough to slip inside your jacket or hip pocket without spoiling the silhouette of your ensemble. Adds a quirky yet classy aesthetic into your sartorial choice for the day, when you snap this wallet out. Comes with a handkerchief   Wallet  Dimensions: 12 cm x 10 cm  Textured leather upper Two-fold wallet with a flap Two main compartments Three card holders on the left fold and a buttonable coin pouch on the right One slip pocket on either side of the fold Two id holders on the flap   Handkerchief  Dimensions: 42 cm x 42 cm  White cotton kerchief with coloured stripes at the edges (stripe colour may differ from that in photograph)   Care Wipe wallet with clean dry cloth to remove dust Do not store in sunlight",Cabarelli Men Accessory Gift Set,Accessory Gift Set
48583.jpg,"Style Note Designed keeping in mind the aesthetics of the trendsetting youth of today, this bracelet from revv is simple, smart and stylish. Crafted from steel, its shine does not diminish with time, while its classic design and colour combination allow you to pair it with a wide range of ensembles. Product Details Silver coloured chain bracelet with black enameled pattern at the centre, fold over clasp Materials and Care Steel Wipe with clean dry cloth to remove dust",Revv Men Steel Bracelet,Bracelet
27992.jpg,"Revel in the comfort of soft cotton with this modern brief from jockey. The superior cotton rib fabric provides breathable comfort, while the cut offers easy leg movement. The printed label allows abrasion free comfort and the double layered fly construction offers maximum support.  Crafted from 100% premium combed cotton Broad and stretchable waistband in a contrast colour that sits snug and comfortably Double layered fly construction for maximum support and comfort New high tech cushioned waistband for smooth comfortable grip Low rise Fit   Wash care  Machine wash delicate at 40 degrees with like colours Do not bleach, iron or dry clean Flat dry in shade",Jockey ZONE Men Zone Blue Brief US17,Briefs
5622.jpg,"Spice up your lazy days with these ADI Zing slippers from adidas. Available in funky colours, your expeditions become all the more comfortable with its cushioned footbed. Pair it with slim jeans and any bright top for a stylish casual look. Upper Synthetic leather straps with a velvety feel for durability and protection from blistering Softly cushioned straps for extra comfort and to avoid abrasion Toe separator for easy wear and to hold the foot in place Midsole Foam footbed with graphics and brand mark for cushioned all-day comfort and style Outsole TPR outsole with geometric textured lugs for durability and traction shoe care Wipe off dirt with a moist cloth Do not machine wash",ADIDAS Women's Adi Zing Yellow Flip Flop,Flip Flops
16632.jpg,"Composition Red T-shirt made of 100% cotton, has a round neck, short sleeves, graphic print on the chest and brand badge above the left hem   Fitting  Regular   Wash care  Machine wash cold at 40 degrees using a mild detergent Do not dry clean or bleach Tumble dry low and dry inside-out in shade Warm iron   Celebrate the spirit and power of the eagle with this T-shirt from facit. Oozing high energy,  this T-shirt has been crafted from soft, premium cotton fabric to offer exemplary comfort. Team it with jeans and sneakers.   Model statistics  The product is a size M on a model of height 6' and shoulders 18""",Facit Men Smart Red Tshirt,Tshirts
49310.jpg,"Pack of five high ankle length socks – two in navy blue and black, beige and brown with design all over, elasticated and ribbed cuffs for a good fit and grip, three dimensional shaped heel and toe for a good fit",Arrow Men Pack of 5 Socks,Socks
12419.jpg,"Crafted from soft leather, this black wallet from Reid and Taylor is a fabulously stylish way to keep your money and cards safe and secure. With a textured finish and embossed brand name on the uppers, this tri-fold wallet has lots of inner storage making it perfect for everyday use. Dimensions : 12 cm X 9.5 cm Textured synthetic leather for flexibility and durability Two compartments with fabric inner lining on the inside Multiple partitions on the tri-fold to stash away cards and store coins Care Wipe surface with a dry, clean cloth to remove dust",Reid & Taylor Men Casual Black Wallets,Wallets
29981.jpg,"Case style: Silver toned squarish case with a fixed bezel Dial style: Blue dial, silver hands Strap style: Silvery strap with fold over clasp, crystal studded Features: Logo at the 12-hour mark, screw to reset time, solid case back made of stainless steel for enhanced durability Water resistance up to 30 meters & ndash  wearable while washing hands and in mild rain Warranty: 2 years from the date of purchase",Aspen Women Blue Dial Watch,Free Gifts
52407.jpg,"Black satin knee-length nightdress with a V-neck, adjustable thin shoulder straps, lace with tie- up detail at the yoke and elastication at the back",Red Rose Women Black Nightdress,Nightdress
9605.jpg,"Composition Green and white check shirt with red accents, made of 100% cotton, has full arm sleeves with buttoned cuffs and mid-sleeve buttoned flap, front buttoned placket, pocket on left chest with buttoned flap and embroidered brand logo, and has a curved hemline  Fitting Slim   Wash care  Pre-soak the garment before wash Preferably hand wash inside out with zippers and buttons fastened, using a mild detergents Wash dark colours separately Do not attempt to remove stains by spot washing Flat dry or drip dry on hanger and avoid wringing Preferably steam iron  Checks that add immense style to your semi-formal look is what Sullers brings into your life. Be the cynosure of all eyes in this stylish shirt, while the fabric keeps you fresh and comfortable all day. The full arm sleeves add a touch of regality to your personality. Pair it with denims and suede shoes for that unparalleled cool.  Model statistics The model wears size M in shirts Height-6.2', Shoulders-17.5""",Scullers Men Scul Green White Shirts,Shirts
26649.jpg,"Introduced in 1987, the puma TX-3 is a classic running shoe that features a 3-density wedge. Its stylish design with suede, synthetic leather and fabric combination upper makes this a sporty casual footwear. This pair comes with a shoe bag Upper Suede, mesh, synthetic leather and fabric combination upper Mildly padded tongue and collar for comfort Lacing system for a snug, customised Fit Padded footbed for all-day comfort Midsole EVA midsole for impact protection Outsole Three-density wedge blown rubber outsole with waffle pattern lugs for absolute grip and traction External TPU heel counter with a metatarsal flex pad for enhanced shock absorption Shoe care Wipe surface with a clean and damp cloth to remove dust Clean the suede overlays with a suede brush Do not machine wash or store in direct sunlight",Puma Men TX-3 Grey & Blue Sports Shoes,Sports Shoes
27290.jpg,"Composition Maroon V-neck kurta made of 100% cotton, has tape detail along the neckline, embroidery and mirror work on the chest, diagonal stripe detail all over, short sleeves and a vented hem   Fit  Regular  Wash care  Hand wash separately in cold water using a mild detergent as colour may bleed Flat dry inside out in shade Warm iron Do not soak Certain fabrics will shrink  mother earth's focus on providing livelihoods for rural artisans resulted in this handmade kurta that fuses earthy goodness with a modern cut and silhouette. This piece epitomises how fashion, vintage styling and comfort unite to create the perfect Indian tunic. Those interested in colour blocking can wear this with bright contrasting capris or pants. Others who want to keep their look classic and chic can pair this with tonal leggings and embellished slippers.  Model statistics  The product is a size S on a model of height 5'8"" and chest 33""",Mother Earth Women Maroon Kurta,Kurtas
9148.jpg,"Composition  Dark blue straight Fit jeans made of cotton blend fabric, has two insert pockets on the front side, two patch pockets on the back with thread detailing, brand patch appliqued on the waistband at the back and on the right back pocket, and metal zipper and button closure   Fit  Low-rise, straight fit   Wash care  Colour will bleed Machine wash separately in cold water at 30 C with mild detergent Turn garment inside out for washing and drying Do not bleach or wring Tumble dry or flat dry in shade Warm iron  If you're a denim person, these dark blue straight fit jeans from lee will delight you. Low-rise, with a great striaght fit, you might not want to take them off once you pull them on! Perfect companion for your t-shirts and sexy tops.   Model statistics  The model wears jeans of length 38.5"" Height: 5.9'  Waist: 26.5""",Lee Women Blue Jeans,Jeans
25879.jpg,"Black backpack made of polyester for durability One main zipped compartment with a adjustable laptop sleeve One zipped compartment on the front with organizer sleeves, a zipped mesh pouch and a removable zipped pouch One zipped side pocket and one asymmetric zipped pocket on the front One side bottle holder and a ear phones gate on the top Haul loop for easy carrying An adjustable shoulder strap made of polyester Branded zips and branding on the strap Back padding for comfort and branding in the form of legs at the base Warranty: 1 year",American Tourister Unisex Citi Pro Black Backpack,Backpacks
42614.jpg,"Style Note You'll catch every passing eye with this beautiful gold studded necklace and earrings from estelle. The subtle design gives a touch of sophistication while the gold plating provides an exquisite sheen.estelle jewellery is 24 Carat Gold/Silver Plated. The base metal used for Estelle is Pewter. Warranty: 1 year Product Details Gold studded chain with pendant and earrings from Estelle Pendant in the form of five curvilinear studded strokes, earrings with three curvilinear studded strokes, metal fastening Material and Care 24 carat gold plated Pewter base metal Earring posts made of hypo-allergic surgical steel to avoid skin allergies High quality imported Crystals/CZs Wipe with a clean cotton swab to remove dust Size Length of chain: 41 cm Length of pendant: 3.7 cm Length of earrings: 1.6 cm",Estelle Women Earrings & Pendant Set,Jewellery Set
12608.jpg,"Composition Multi-coloured top made of 100% viscose, has raglan sleeves with a flowing hem, made of a single cut attached at the back and front, and has sequin and thread detailing along the V-neckline Fitting Regular Wash care Wash dark colours separately Use mild detergent in warm water (maximum 40 degrees) Do not wring or bleach Flat dry in shade Do not iron on print Ethnic fused with oodles of attitude results in this stylish top from jealous 21. The off-beat handkerchief cut camouflages that unwanted fat and reflects a slim and toned look. Pair this with slim Fit denims and heels for a complete fashionable look. Model statistics The model wears size M in tops Height: 5'8"", Chest: 33""",Jealous 21 Women Printed Maroon Tops,Tops
23873.jpg,"Blue polo neck T-shirt, has a tipped collar, buttoned half placket, short sleeves with ribbed cuffs and a vented hem",ADIDAS Men Blue T-shirt,Tshirts
57344.jpg,"Purple full-coverage bra, has lightly padded and underwired cups, diamante detailing at the centre, elasticated and adjustable shoulder straps, adjustable double hook and eye closure Owing to the intimate nature of this product it is eligible for self-ship return only (no pick-up facility)",Amante Purple Bra-BGDI03,Bra
3706.jpg,"Composition Grey polo neck t-shirt with red and brown stripes, made of 100% cotton Fitting Slim Wash care   Machine wash separately in cold water  Use mild detergent  Do not bleach  Avoid soaking  Remove promptly  Line dry inside out in shade  Warm iron only  Do not iron directly on print/embroidery   Look cool this summer in this grey polo neck tee with red and black stripes from classic polo. The chest pocket and the red twill tape on the inseam of the collar bring more design detailing to the tee, while the pure cotton fabric ensures you&rsquo re kept comfortable and dry through all seasons. Team this with jeans or chinos and a pair of stylish footwear from the wide range available at myntra, to complete your fashion statement. It&rsquo s an ideal wear for casual outings with friends, brunches or hanging out at the Sports club. Model statistics The model wears size M in t-shirts Height-6', Shoulders-19""",Classic Polo Men's Grey Red & Brown Stripe T-shirt,Tshirts
24509.jpg,"Composition Black printed round neck kurta made of blended cotton fabric, has a split neckline with a short placket, a panel stitched at the yoke, three quarter sleeves and a vented hem  Fit Regular  Wash care Hand wash separately in cold water using a mild detergent as colour may bleed Flat dry inside out in shade Warm iron  The inspiration for this kurta from mother earth is the retro-esque fusion of ethnic apparel and smart workwear. This piece epitomizes how fashion, vintage styling and comfort unite to create the perfect Indian tunic. Mother Earth uses hand processed fabrics including natural and Azo free dyes. Woven with slub yarns for an authentic vintage feel. Those interested in colourblocking can wear this with bright contrasting capris or pants. Others, who want to keep their look classic and chic, can pair this with tonal leggings, and embellished slippers.  Model statistics The product is a size S on a model of height 5'8"" and chest 33""",Mother Earth Women Black Printed Kurta,Kurtas
35192.jpg,"Olive green and black backpack One haul loop, two padded and adjustable shoulder straps One main zip compartment Two external zip pockets and one flap pocket on the front A mesh stash pocket on one side Warranty: 5 years from the date of purchase against manufacturing defects Note: The inner lining material/colour may vary from what is shown in the image Disclaimer: Please note that the thread colour in the brand logo may vary from the image shown",Wildcraft Unisex Olive Green & Black Backpack,Backpacks
