image,description,display name,category
50378.jpg,  Red and white striped salwar and dupatta set  dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edges  salwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist  Red and white striped Salwar and Dupatta setDupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edgesSalwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist,Vishudh Women Red & White Salwar and Dupatta,Salwar and Dupatta
59863.jpg,"Dermatologically tested cream Non-greasy and suitable for all skin types Reduces the seven signs of ageing - fine lines/wrinkles, dark circles, crow's feet, puffiness, uneven tone/texture and dryness",Olay Women Total Effects Anti-Ageing Eye Cream,Eye Cream
57783.jpg,Contains hydrolised wheat protein to diminish under-eye lines and crow's feet Soy Bio Peptide elements reduces under eye dark circles Has rice bran extract and Vitamin A &   B elements to rejuvenate and hydrate skin around your eyes,Lotus Herbals Nutraeye Rejuvenating & Correcting Eye Gel Eye Cream,Eye Cream
42829.jpg,"Style Note This pair of wristbands by nike will be your saviour on a long run or during an energetic game of tennis. Made from cotton and nylon, keep the sweat away so you can concentrate on your game. Product Details White wristbands with Nike swoosh in white Material   and Care 72% cotton 22% nylon 4% rubber and 2% spandex Machine wash cold Do not bleach, iron or dry clean Line Dry",Nike Unisex Swoosh White Wristbands,Wristbands
53357.jpg,"A pair of red wristbands with white brand logo on the upper for style Made of soft knitted fabric for absolute durability, sweat protection, comfort and style Conveniently elasticated to sit snug around the wrists without causing irritation",Puma Unisex Pack of 2 Red Wristband,Wristbands
39927.jpg,Blue tablet sleeve with  brown flap closure with a hidden magnetic closure Has a brand patch at the side Has a pull tab detail for easy access of tablet Warranty: 6 months warranty on fittings,Tortoise Unisex Blue Tablet Sleeve,Tablet Sleeve
19740.jpg,"From a fashion accessory to an all-season necessity, the umbrella has come a long way. This compact umbrella from united colors of benetton has been crafted with absolute waterproof material and unique prints that give you a colourful edge in all seasons! Three-fold umbrella with eight ribs and stretchers made of stainless steel Shade and cover made of 100% polyamide for waterproofing and easy storage Cap measures 100 cm in diameter when opened up Umbrella measures 24 cm in length when packed Green and black striped print shade and cover with green and black striped print Sturdy stainless steel tube with a runner, top and bottom spring, and an open cap Black rounded plastic tip cup and press button on the umbrella that has the Big Ben logo Haul loop for hanging ease Care Wipe dust and dirt with a damp, clean cloth Hang dry in shade",United Colors of Benetton Green Graphic Design Umbrella,Umbrellas
57681.jpg,"Lotus Herbals Cherry Bliss Body Lotion Enriched with cherry and strawberry extracts Promotes production of collagen, moisturises skin and aids in reducing fine lines and wrinkles For all skin types",Lotus Herbals Cherry Bliss Body Lotion,Body Lotion
50382.jpg,"  Red, brown and white striped salwar and dupatta set  dupatta – Dupatta with a crushed / wrinkled look and beaded tassels at the edges  salwar – Salwar bottoms with drawstring tie at the waist and pleats from below the waist  Red, brown and white striped Salwar and Dupatta set Dupatta – Dupatta with a crushed / wrinkled look and beaded tassels at the edges Salwar – Salwar bottoms with drawstring tie at the waist and pleats from below the waist",Vishudh Women Printed Cream Salwar and Dupatta,Salwar and Dupatta
50384.jpg,Black and white printed salwar and dupatta set dupatta &ndash  Dupatta with a crushed / wrinkled look and beaded tassels at the edges salwar &ndash  Salwar bottoms with drawstring tie at the waist and pleats from below the waist,Vishudh Women Black Salwar and Dupatta,Salwar and Dupatta
57699.jpg,"Lotus Herbals Quince Seed Massage Cream has extracts of quince seed, ginseng and aswagandha Contains almond oil and sunflower oil Regular use imparts a radiant, smooth glow to the face Suitable for women above 30 years Suitable for all skin types",Lotus Herbals Quince Seed Massage Cream,Face Scrub and Exfoliator
26371.jpg,"Composition Pink and white check shirt made of 100% cotton, has a spread collar, a full buttoned placket with ruffles, short sleeves, brand badge above the hem and a curved hem Fit Regular Wash care only hand wash in cool water Do not scrub, bleach, wring, tumble dry or dry clean Turn inside out and dry flat in shade Warm iron, but do not iron on print or embroidery arrow woman caters to fashion-oriented career women. This shirt, with its understated hue is designed with an easy silhouette. Pair it with a pencil skirt, closed toe pumps and a tonal scarf. Model statistics Product is a size M on a model of height 5'8"" and chest 33""",Arrow Woman Check Pink Shirt,Shrug
49103.jpg,Ultra smooth silicon based applicator High-sheen gloss Volumizing lip plumper that's dermatologically tested,Deborah Chocolate Volume Lip Plumper 05,Lip Plumper
57418.jpg,"Black robe, has a V-neck, an open front with a tie-up detail, three-quarter sleeves with lace cuffs",Amante Black Robe,Robe
30726.jpg,"lehenga choli set with dupatta Blue choli with a ballet wrap neckline, has small pleated edges along the neckline with a tie up, short sleeves with dark blue piping on the cuffs and hem, a tie up on the right inside the choli and a vented hem Blue mangalgiri printed lehenga with a drawstring Blue duppata with a printed border on both ends  Fit Regular  Wash care Hand wash separately in cold water using mild detergent Dry in shade Do not soak This unique fabric has been dyed/ printed using traditional dyeing processes. Some colours may initially transfer when in dry or wet contact with light coloured fabrics or upholstery. This transfer will reduce after a few washes but we recommend that you wash the product separately for the first few washes.  Dress your little girl in this lehenga choli set from fabindia for a super-cute traditional look. Team this with lacy shoes and make her look like the rajkumari that she is.",Fabindia Girls Printed Blue Lehenga Choli,Lehenga Choli
9965.jpg,"Composition Pair of black wrist bands made of 80% cotton, 16% nylon and 4% lycra, that have iconic three stripes, brand name embroidered on it and NBA brand badge appliqued on it Fitting Comfort Wash care Wash dark colours separately Wash below 40 degree c Do not soak Do not tumble dry Do not bleach Dry in shade Warm iron Do not dry clean Do not iron on print/trims/logo Made of cotton and lycra mix fabric, these comfy adidas wristbands are ideal for everyday workouts. The soft and broad bands give much needed reinforcement to the wrists and help you improve your performance.",ADIDAS Unisex Nba Black Wristbands,Wristbands
57875.jpg,"Bio Almond Oil Soothing face and Eye Makeup cleanser contains nourishing almond, safflower, sesame, neem and staff tree oils to dissolve make up is suitable for normal to dry skin",Biotique Bio Almond Oil Soothing Face & Eye Makeup Cleanser,Makeup Remover
57679.jpg,"SUITABLE FOR WHICH SKIN TYPE? Normal to dry skin WHAT IT IS? Deep moisturising hand and body lotion with SPF 20 WHAT IT DOES? Gives soft, supple and hydrated skin all day long Reduces stretch marks and fine lines Ensures skin healing Tones the skin, clears it of blemishes and soothes it WHAT IS IT MADE OF? Cocoa butter Rose water Octyl methoxy cinnamate Titanium dioxide HOW TO USE THE PRODUCT? Apply it all over the body ABOUT THE BRAND Lotus Herbals nurtures simple values of being close to nature, purity and being based on science. It commits to nature's wealth to help take care of your skin, body and mind in the most effective manner.",Lotus Herbals Cocoa Caress SPF 20 Hand & Body Lotion 250 ml,Body Lotion
57687.jpg,"Vanilla Velvet body lotion for all skin types It moisturizes and nourishes your skin for brilliant radiance Enriched with avocado, soy and vanilla extracts",Lotus Herbals Vanilla Velvet Body Lotion,Body Lotion
3469.jpg,"Composition Black unisex tennis headband made of terylene with broad, comfort elastic and branding in white Wash care Hand wash or machine wash Keep that hair off your face while you indulge in a serious game of tennis with this black and white headband from adidas. The broad, stretchable band ensures that your hair is kept in place and fits snugly without hurting your head.",ADIDAS Unisex Black White Headband,Headband
57880.jpg,"This exfoliating scrub for normal to dry skin is blended with pure walnut oil, rich in Vitamin A and lecithin, extracts of neem, mint, fenugreek and red sandalwood to purify and polish skin texture Sweeps away dry lines and leaves skin smooth, soft and spotlessly refreshed Skin becomes more receptive to the benefits of future treatment",Biotique Women Bio Walnut Purifying & Polishing Scrub,Face Scrub and Exfoliator
50982.jpg,"Style Note enamor's range of flirty and pretty nightdresses are quite impressive. Capturing the mood of the season in the colours, fabric and designs, your beauty sleep is is made even more comfortable by this range. Enjoy the obvious cutesy look of this pink nightdress.   Product Details Maroon robe, has a sash to tie around the waist and insert pockets near the waist on the sides and sash inside that can be tied to hold the robe in place   Material and Care Fabric: 100% polyester Trims: 79% nylon, 11% elastane and 10% rayon Hand wash Do not bleach Do not iron   Size and Fit Regular fit The model (height 5'8"" and chest 33"") is wearing a size L",Enamor Women Maroon Robe,Robe
